Date,MaxTemp,site number,site name
25/09/2019,21.9,,
26/09/2019,22.1,,
27/09/2019,25.5,,
28/09/2019,20.8,,
29/09/2019,21.1,,
30/09/2019,19.4,,
01/10/2019,21.1,,
02/10/2019,22.7,,
03/10/2019,29.3,,
04/10/2019,33.2,,
05/10/2019,19.5,,
06/10/2019,23.6,,
07/10/2019,23.4,,
08/10/2019,23.7,,
09/10/2019,19.3,,
10/10/2019,20.4,,
11/10/2019,19.3,,
12/10/2019,19.8,,
13/10/2019,20.5,,
14/10/2019,22.2,,
15/10/2019,25.1,,
16/10/2019,24.1,,
17/10/2019,28,,
18/10/2019,23.7,,
19/10/2019,28.4,,
20/10/2019,22.5,,
21/10/2019,24,,
22/10/2019,24.2,,
23/10/2019,25.6,,
24/10/2019,27.4,,
25/10/2019,36.7,,
26/10/2019,31.1,,
27/10/2019,24.2,,
28/10/2019,22.5,,
29/10/2019,26,,
30/10/2019,26.3,,
31/10/2019,26.5,,
01/11/2019,26.9,,
02/11/2019,27.9,,
03/11/2019,28.5,,
04/11/2019,25.2,,
05/11/2019,20,,
06/11/2019,27.9,,
07/11/2019,31.1,,
08/11/2019,30.5,,
09/11/2019,21,,
10/11/2019,25.6,,
11/11/2019,26.6,,
12/11/2019,36.2,,
13/11/2019,24.1,,
14/11/2019,25.5,,
15/11/2019,31.5,,
16/11/2019,24.4,,
17/11/2019,23.1,,
18/11/2019,25.8,,
19/11/2019,32.3,,
20/11/2019,26.4,,
21/11/2019,28.5,,
22/11/2019,25.2,,
23/11/2019,22,,
24/11/2019,25.2,,
25/11/2019,28.7,,
26/11/2019,34.4,,
27/11/2019,23.9,,
28/11/2019,25.6,,
29/11/2019,29.9,,
30/11/2019,24.2,,
01/12/2019,24.3,,
02/12/2019,22.9,,
03/12/2019,28.7,,
04/12/2019,30.9,,
05/12/2019,34.6,,
06/12/2019,24.2,,
07/12/2019,26.1,,
08/12/2019,26.9,,
09/12/2019,26.4,,
10/12/2019,30.1,,
11/12/2019,24.3,,
12/12/2019,23.6,,
13/12/2019,24.8,,
14/12/2019,28.1,,
15/12/2019,28.8,,
16/12/2019,24,,
17/12/2019,26.5,,
18/12/2019,27.5,,
19/12/2019,39.8,,
20/12/2019,28.9,,
21/12/2019,29.9,,
22/12/2019,23.4,,
23/12/2019,26.1,,
24/12/2019,29.1,,
25/12/2019,29.3,,
26/12/2019,29.4,,
27/12/2019,29.1,,
28/12/2019,30.8,,
29/12/2019,26.8,,
30/12/2019,28.3,,
31/12/2019,36.6,,
01/01/2020,27.3,,
02/01/2020,29,,
03/01/2020,29.4,,
04/01/2020,36.4,,
05/01/2020,26.6,,
06/01/2020,27.9,,
07/01/2020,28.8,,
08/01/2020,27.7,,
09/01/2020,26.5,,
10/01/2020,31.3,,
11/01/2020,23.1,,
12/01/2020,22.1,,
13/01/2020,29.1,,
14/01/2020,28.9,,
15/01/2020,28.3,,
16/01/2020,28.1,,
17/01/2020,22.2,,
18/01/2020,22.8,,
19/01/2020,26.6,,
20/01/2020,29.1,,
21/01/2020,31.9,,
22/01/2020,30.7,,
23/01/2020,41.2,,
24/01/2020,28.5,,
25/01/2020,29.1,,
26/01/2020,32.5,,
27/01/2020,30.2,,
28/01/2020,31.3,,
29/01/2020,29,,
30/01/2020,30.1,,
31/01/2020,32.4,,
01/02/2020,36.4,,
02/02/2020,31.1,,
03/02/2020,31.7,,
04/02/2020,23.7,,
05/02/2020,27.4,,
06/02/2020,24.4,,
07/02/2020,22.6,,
08/02/2020,23.8,,
09/02/2020,21.9,,
10/02/2020,27.8,,
11/02/2020,30.8,,
12/02/2020,26.4,,
13/02/2020,26.3,,
14/02/2020,27.8,,
15/02/2020,28.5,,
16/02/2020,27.7,,
17/02/2020,26.1,,
18/02/2020,30,,
19/02/2020,29.1,,
20/02/2020,25.5,,
21/02/2020,26.6,,
22/02/2020,24.3,,
23/02/2020,25.9,,
24/02/2020,28.4,,
25/02/2020,29.7,,
26/02/2020,32.2,,
27/02/2020,27.2,,
28/02/2020,25.7,,
29/02/2020,27.9,,
01/03/2020,29.7,,
02/03/2020,38,,
03/03/2020,21.9,,
04/03/2020,25.6,,
05/03/2020,22.8,,
06/03/2020,27.6,,
07/03/2020,24.9,,
08/03/2020,23.2,,
09/03/2020,22.2,,
10/03/2020,23.6,,
11/03/2020,26,,
12/03/2020,26.6,,
13/03/2020,26.5,,
14/03/2020,17.9,,
15/03/2020,20.3,,
16/03/2020,22.5,,
17/03/2020,23.9,,
18/03/2020,25.8,,
19/03/2020,32,,
20/03/2020,34.7,,
21/03/2020,27.6,,
22/03/2020,29.6,,
23/03/2020,23,,
24/03/2020,22.4,,
25/03/2020,25.6,,
26/03/2020,22.4,,
27/03/2020,23.9,,
28/03/2020,26.2,,
29/03/2020,26,,
30/03/2020,24.8,,
31/03/2020,27,,
01/04/2020,24.8,,
02/04/2020,25.4,,
03/04/2020,25.8,,
04/04/2020,25.6,,
05/04/2020,24.9,,
06/04/2020,24.9,,
07/04/2020,21.7,,
08/04/2020,20.4,,
09/04/2020,22.2,,
10/04/2020,23.3,,
11/04/2020,26.5,,
12/04/2020,22.6,,
13/04/2020,22.6,,
14/04/2020,24.5,,
15/04/2020,25.4,,
16/04/2020,25.7,,
17/04/2020,27.9,,
18/04/2020,24.9,,
19/04/2020,23.9,,
20/04/2020,19.4,,
21/04/2020,25.4,,
22/04/2020,26.3,,
23/04/2020,26.2,,
24/04/2020,28.4,,
25/04/2020,25.8,,
26/04/2020,27.8,,
27/04/2020,21.6,,
28/04/2020,24.4,,
29/04/2020,25.1,,
30/04/2020,21.1,,
01/05/2020,16.7,,
02/05/2020,18.3,,
03/05/2020,19.6,,
04/05/2020,19.4,,
05/05/2020,20.9,,
06/05/2020,24.1,,
07/05/2020,24.8,,
08/05/2020,28,,
09/05/2020,25.8,,
10/05/2020,19.3,,
11/05/2020,19.4,,
12/05/2020,21.9,,
13/05/2020,19.6,,
14/05/2020,18.6,,
15/05/2020,15.6,,
16/05/2020,19.6,,
17/05/2020,22.4,,
18/05/2020,21,,
19/05/2020,21.4,,
20/05/2020,24.5,,
21/05/2020,18.8,,
22/05/2020,15.9,,
23/05/2020,17.7,,
24/05/2020,17.2,,
25/05/2020,15.5,,
26/05/2020,20,,
27/05/2020,20.5,,
28/05/2020,22.7,,
29/05/2020,15.7,,
30/05/2020,20.6,,
31/05/2020,22.3,,
01/06/2020,22.6,,
02/06/2020,14.9,,
03/06/2020,18.7,,
04/06/2020,17,,
05/06/2020,19.4,,
06/06/2020,19.7,,
07/06/2020,17.2,,
08/06/2020,17.3,,
09/06/2020,19.8,,
10/06/2020,16.1,,
11/06/2020,21.4,,
12/06/2020,16.2,,
13/06/2020,19.8,,
14/06/2020,21.8,,
15/06/2020,20.6,,
16/06/2020,21.5,,
17/06/2020,17.4,,
18/06/2020,19.9,,
19/06/2020,20.1,,
20/06/2020,21.8,,
21/06/2020,19.3,,
22/06/2020,17.8,,
23/06/2020,17.4,,
24/06/2020,18.8,,
25/06/2020,19.7,,
26/06/2020,19.3,,
27/06/2020,16.6,,
28/06/2020,16.2,,
29/06/2020,16.8,,
30/06/2020,18.8,,
01/07/2020,22.8,,
02/07/2020,22.9,,
03/07/2020,18.7,,
04/07/2020,17.1,,
05/07/2020,19.1,,
06/07/2020,19.3,,
07/07/2020,16.9,,
08/07/2020,17.6,,
09/07/2020,17.9,,
10/07/2020,17.7,,
11/07/2020,15.9,,
12/07/2020,18.8,,
13/07/2020,18.4,,
14/07/2020,15.9,,
15/07/2020,15,,
16/07/2020,15.3,,
17/07/2020,15.1,,
18/07/2020,18.1,,
19/07/2020,20.7,,
20/07/2020,19.4,,
21/07/2020,17.4,,
22/07/2020,20,,
23/07/2020,20.1,,
24/07/2020,19,,
25/07/2020,18,,
26/07/2020,16.5,,
27/07/2020,16.3,,
28/07/2020,18.4,,
29/07/2020,19.3,,
30/07/2020,18.3,,
31/07/2020,18.8,,
01/08/2020,20.3,,
02/08/2020,20.1,,
03/08/2020,21.8,,
04/08/2020,21.5,,
05/08/2020,18.1,,
06/08/2020,17.6,,
07/08/2020,13.6,,
08/08/2020,15.8,,
09/08/2020,14.7,,
10/08/2020,16.8,,
11/08/2020,18.2,,
12/08/2020,18.6,,
13/08/2020,23.3,,
14/08/2020,17.6,,
15/08/2020,20.6,,
16/08/2020,20.6,,
17/08/2020,21,,
18/08/2020,21.3,,
19/08/2020,21.4,,
20/08/2020,18.7,,
21/08/2020,18.4,,
22/08/2020,15.8,,
23/08/2020,17.3,,
24/08/2020,19.6,,
25/08/2020,18.9,,
26/08/2020,20.1,,
27/08/2020,22.4,,
28/08/2020,19.6,,
29/08/2020,22.3,,
30/08/2020,24.7,,
31/08/2020,22.6,,
01/09/2020,19.6,,
02/09/2020,24.1,,
03/09/2020,30.5,,
04/09/2020,20.7,,
05/09/2020,22.3,,
06/09/2020,21.2,,
07/09/2020,22.7,,
08/09/2020,23.5,,
09/09/2020,16.1,,
10/09/2020,19.4,,
11/09/2020,20.7,,
12/09/2020,22.7,,
13/09/2020,25.6,,
14/09/2020,22.1,,
15/09/2020,22.9,,
16/09/2020,24.2,,
17/09/2020,31.7,,
18/09/2020,18.2,,
19/09/2020,23,,
20/09/2020,23.5,,
21/09/2020,29.2,,
22/09/2020,26.7,,
23/09/2020,24.2,,
24/09/2020,21.9,,
25/09/2020,24.3,,
26/09/2020,18,,
27/09/2020,18.9,,
28/09/2020,20.2,,
29/09/2020,21.1,,
30/09/2020,20.8,,
01/10/2020,25.5,,
02/10/2020,24.7,,
03/10/2020,25.2,,
04/10/2020,24.8,,
05/10/2020,33.7,,
06/10/2020,19.8,,
07/10/2020,21.5,,
08/10/2020,29.4,,
09/10/2020,23.5,,
10/10/2020,26,,
11/10/2020,28.2,,
12/10/2020,25.3,,
13/10/2020,28.8,,
14/10/2020,23.5,,
15/10/2020,25.8,,
16/10/2020,19.7,,
17/10/2020,26.3,,
18/10/2020,26.2,,
19/10/2020,21.3,,
20/10/2020,22.2,,
21/10/2020,24.6,,
22/10/2020,26.3,,
23/10/2020,25.7,,
24/10/2020,26,,
25/10/2020,15.2,,
26/10/2020,16.6,,
27/10/2020,20.5,,
28/10/2020,20,,
29/10/2020,22.6,,
30/10/2020,24.7,,
31/10/2020,25.4,,
01/11/2020,19.7,,
02/11/2020,22.2,,
03/11/2020,23.9,,
04/11/2020,24.7,,
05/11/2020,15.6,,
06/11/2020,21.6,,
07/11/2020,20.7,,
08/11/2020,21.1,,
09/11/2020,22.6,,
10/11/2020,23.3,,
11/11/2020,25.4,,
12/11/2020,28.6,,
13/11/2020,30.4,,
14/11/2020,26.7,,
15/11/2020,25.7,,
16/11/2020,36.5,,
17/11/2020,25,,
18/11/2020,25.4,,
19/11/2020,26.7,,
20/11/2020,27.8,,
21/11/2020,25.6,,
22/11/2020,25.6,,
23/11/2020,25.5,,
