,Date,Demand,MaxTemp
231,2022-06-12,8233.07,1.0
232,2022-06-19,8038.51,1.0
233,2022-06-26,7948.37,1.0
234,2022-07-03,7906.4,1.0
235,2022-07-10,8364.06,1.0
236,2022-07-17,8391.53,1.0
237,2022-07-24,8058.08,1.0
238,2022-07-31,8528.94,1.0
239,2022-08-07,7709.4,1.0
240,2022-08-14,7954.84,1.0
241,2022-08-21,7962.73,1.0
242,2022-08-28,7622.22,1.0
243,2022-09-04,7877.64,1.0
244,2022-09-11,7212.57,1.0
245,2022-09-18,7045.63,1.0
246,2022-09-25,7091.52,1.0
247,2022-10-02,7308.59,1.0
248,2022-10-09,6997.34,1.0
249,2022-10-16,6603.34,1.0
250,2022-10-23,6730.7,1.0
251,2022-10-30,6401.76,1.0
252,2022-11-06,6548.9,1.0
253,2022-11-13,6563.48,1.0
254,2022-11-20,6403.63,1.0
255,2022-11-27,6398.63,1.0
256,2022-12-04,6570.66,1.0
257,2022-12-11,6469.31,1.0
258,2022-12-18,6469.04,1.0
259,2022-12-25,6448.6,1.0
260,2023-01-01,6739.32,1.0
261,2023-01-08,6348.0,1.0
262,2023-01-15,6816.38,1.0
263,2023-01-22,6549.83,1.0
264,2023-01-29,7701.49,1.0
265,2023-02-05,6488.69,1.0
266,2023-02-12,7050.13,1.0
267,2023-02-19,6933.47,1.0
268,2023-02-26,6811.68,1.0
269,2023-03-05,6821.68,1.0
270,2023-03-12,7080.95,1.0
271,2023-03-19,7225.02,1.0
272,2023-03-26,6453.97,1.0
273,2023-04-02,6380.91,1.0
274,2023-04-09,6476.97,1.0
275,2023-04-16,6553.0,1.0
276,2023-04-23,6944.95,1.0
277,2023-04-30,7115.29,1.0
278,2023-05-07,7400.84,1.0
279,2023-05-14,7404.56,1.0
280,2023-05-21,7809.97,1.0
281,2023-05-28,8155.57,1.0
282,2023-06-04,7254.85,1.0
283,2023-06-11,8121.3,1.0
284,2023-06-18,8027.48,1.0
285,2023-06-25,8126.18,1.0
286,2023-06-26,,25.0
287,2023-06-27,,25.0
288,2023-06-28,,25.0
289,2023-06-29,,25.0
290,2023-06-30,,25.0
291,2023-07-01,,25.0
292,2023-07-02,,25.0
293,2023-07-03,,25.0
294,2023-07-04,,25.0
295,2023-07-05,,25.0
296,2023-07-06,,25.0
297,2023-07-07,,25.0
298,2023-07-08,,25.0
299,2023-07-09,,25.0
300,2023-07-10,,25.0
301,2023-07-11,,25.0
302,2023-07-12,,25.0
303,2023-07-13,,25.0
304,2023-07-14,,25.0
305,2023-07-15,,25.0
306,2023-07-16,,25.0
307,2023-07-17,,25.0
308,2023-07-18,,25.0
309,2023-07-19,,25.0
310,2023-07-20,,25.0
311,2023-07-21,,25.0
312,2023-07-22,,25.0
313,2023-07-23,,25.0
314,2023-07-24,,25.0
315,2023-07-25,,25.0
