Date,Demand
2022-07-24 00:30:00,8058.08
2022-07-31 00:30:00,8528.94
2022-08-07 00:30:00,7709.4
2022-08-14 00:30:00,7954.84
2022-08-21 00:30:00,7962.73
2022-08-28 00:30:00,7622.22
2022-09-04 00:30:00,7877.64
2022-09-11 00:30:00,7212.57
2022-09-18 00:30:00,7045.63
2022-09-25 00:30:00,7091.52
2022-10-02 00:30:00,7308.59
2022-10-09 00:30:00,6997.34
2022-10-16 00:30:00,6603.34
2022-10-23 00:30:00,6730.7
2022-10-30 00:30:00,6401.76
2022-11-06 00:30:00,6548.9
2022-11-13 00:30:00,6563.48
2022-11-20 00:30:00,6403.63
2022-11-27 00:30:00,6398.63
2022-12-04 00:30:00,6570.66
2022-12-11 00:30:00,6469.31
2022-12-18 00:30:00,6469.04
2022-12-25 00:30:00,6448.6
2023-01-01 00:30:00,6739.32
2023-01-08 00:30:00,6348.0
2023-01-15 00:30:00,6816.38
2023-01-22 00:30:00,6549.83
2023-01-29 00:30:00,7701.49
2023-02-05 00:30:00,6488.69
2023-02-12 00:30:00,7050.13
2023-02-19 00:30:00,6933.47
2023-02-26 00:30:00,6811.68
2023-03-05 00:30:00,6821.68
2023-03-12 00:30:00,7080.95
2023-03-19 00:30:00,7225.02
2023-03-26 00:30:00,6453.97
2023-04-02 00:30:00,6380.91
2023-04-09 00:30:00,6476.97
2023-04-16 00:30:00,6553.0
2023-04-23 00:30:00,6944.95
2023-04-30 00:30:00,7115.29
2023-05-07 00:30:00,7400.84
2023-05-14 00:30:00,7404.56
2023-05-21 00:30:00,7809.97
2023-05-28 00:30:00,8155.57
2023-06-04 00:30:00,7254.85
2023-06-11 00:30:00,8121.3
2023-06-18 00:30:00,8027.48
2023-06-25 00:30:00,8126.18
